,score_of_10,score_<2.0,score_2.0-3.0,score_3.1-4.0,score_4.1-5.0,score_5.1-6.0,score_6.1-7.0,score_7.1-8.0,score_8.1-9.0,score_9.1-10.0
129,6.2,0,0,0,0,0,1,0,0,0
130,7.2,0,0,0,0,0,0,1,0,0
131,7.2,0,0,0,0,0,0,1,0,0
132,8.0,0,0,0,0,0,0,1,0,0
133,6.7,0,0,0,0,0,1,0,0,0
134,7.4,0,0,0,0,0,0,1,0,0
135,7.7,0,0,0,0,0,0,1,0,0
136,7.9,0,0,0,0,0,0,1,0,0
137,7.5,0,0,0,0,0,0,1,0,0
138,8.8,0,0,0,0,0,0,0,1,0
139,7.1,0,0,0,0,0,0,1,0,0
140,7.1,0,0,0,0,0,0,1,0,0
141,6.7,0,0,0,0,0,1,0,0,0
142,7.3,0,0,0,0,0,0,1,0,0
143,7.4,0,0,0,0,0,0,1,0,0
144,7.5,0,0,0,0,0,0,1,0,0
145,7.3,0,0,0,0,0,0,1,0,0
146,8.1,0,0,0,0,0,0,0,1,0
147,8.0,0,0,0,0,0,0,1,0,0
148,7.8,0,0,0,0,0,0,1,0,0
149,7.5,0,0,0,0,0,0,1,0,0
150,7.4,0,0,0,0,0,0,1,0,0
151,7.3,0,0,0,0,0,0,1,0,0
152,7.2,0,0,0,0,0,0,1,0,0
153,8.3,0,0,0,0,0,0,0,1,0
154,7.4,0,0,0,0,0,0,1,0,0
155,7.6,0,0,0,0,0,0,1,0,0
156,7.4,0,0,0,0,0,0,1,0,0
157,6.7,0,0,0,0,0,1,0,0,0
158,7.6,0,0,0,0,0,0,1,0,0
159,7.6,0,0,0,0,0,0,1,0,0
160,6.6,0,0,0,0,0,1,0,0,0
161,7.6,0,0,0,0,0,0,1,0,0
162,7.4,0,0,0,0,0,0,1,0,0
163,6.6,0,0,0,0,0,1,0,0,0
164,7.8,0,0,0,0,0,0,1,0,0
165,7.1,0,0,0,0,0,0,1,0,0
166,6.4,0,0,0,0,0,1,0,0,0
167,7.9,0,0,0,0,0,0,1,0,0
168,7.6,0,0,0,0,0,0,1,0,0
169,6.4,0,0,0,0,0,1,0,0,0
170,7.9,0,0,0,0,0,0,1,0,0
171,7.3,0,0,0,0,0,0,1,0,0
172,7.0,0,0,0,0,0,1,0,0,0
173,7.5,0,0,0,0,0,0,1,0,0
174,7.6,0,0,0,0,0,0,1,0,0
175,7.1,0,0,0,0,0,0,1,0,0
176,8.0,0,0,0,0,0,0,1,0,0
177,7.4,0,0,0,0,0,0,1,0,0
178,7.2,0,0,0,0,0,0,1,0,0
179,7.0,0,0,0,0,0,1,0,0,0
180,8.2,0,0,0,0,0,0,0,1,0
181,6.7,0,0,0,0,0,1,0,0,0
182,7.3,0,0,0,0,0,0,1,0,0
183,7.3,0,0,0,0,0,0,1,0,0
184,7.0,0,0,0,0,0,1,0,0,0
185,7.1,0,0,0,0,0,0,1,0,0
186,5.6,0,0,0,0,1,0,0,0,0
187,7.3,0,0,0,0,0,0,1,0,0
188,7.6,0,0,0,0,0,0,1,0,0
189,7.2,0,0,0,0,0,0,1,0,0
190,5.6,0,0,0,0,1,0,0,0,0
191,7.5,0,0,0,0,0,0,1,0,0
192,7.0,0,0,0,0,0,1,0,0,0
193,7.7,0,0,0,0,0,0,1,0,0
194,8.2,0,0,0,0,0,0,0,1,0
195,8.2,0,0,0,0,0,0,0,1,0
196,7.3,0,0,0,0,0,0,1,0,0
197,7.7,0,0,0,0,0,0,1,0,0
198,7.7,0,0,0,0,0,0,1,0,0
199,6.6,0,0,0,0,0,1,0,0,0
200,7.5,0,0,0,0,0,0,1,0,0
201,7.1,0,0,0,0,0,0,1,0,0
202,7.6,0,0,0,0,0,0,1,0,0
203,7.0,0,0,0,0,0,1,0,0,0
204,7.2,0,0,0,0,0,0,1,0,0
205,7.1,0,0,0,0,0,0,1,0,0
206,7.4,0,0,0,0,0,0,1,0,0
207,7.3,0,0,0,0,0,0,1,0,0
208,7.7,0,0,0,0,0,0,1,0,0
209,7.0,0,0,0,0,0,1,0,0,0
210,7.4,0,0,0,0,0,0,1,0,0
211,6.8,0,0,0,0,0,1,0,0,0
212,7.1,0,0,0,0,0,0,1,0,0
213,6.7,0,0,0,0,0,1,0,0,0
