,Genres
201,"Action,Crime,Thriller"
202,"Crime,Drama,Thriller"
203,"Action,Drama,Sci-Fi,Sport"
204,"Biography,Drama"
205,"Action,Adventure,Drama,Sci-Fi"
206,Documentary
207,"Adventure,Comedy,Drama"
208,"Documentary,History"
209,"Adventure,Comedy"
210,Biography
211,"Horror,Mystery,Thriller"
212,Documentary
213,"Action,Adventure,Fantasy,Thriller"
214,"Animation,Adventure,Comedy,Family,Western"
215,"Drama,Fantasy,Horror,Thriller"
216,"Biography,Comedy,Drama"
217,"Biography,Crime,Drama,Romance"
218,Drama
219,Documentary
220,"Crime,Drama"
221,"Fantasy,Horror"
222,"Documentary,Crime"
223,"Action,Adventure,Thriller"
224,Drama
225,"Action,Crime,Drama,Thriller"
226,"Comedy,Drama,Romance"
227,Comedy
228,"Comedy,Romance"
229,Documentary
230,"Documentary,Crime"
231,"Action,Adventure,Crime,Drama,Mystery"
232,"Comedy,Drama,Musical,Sci-Fi"
233,"Crime,Drama,Thriller"
234,"Action,Crime,Drama,Romance,Thriller"
235,Drama
236,"Drama,Family"
237,Documentary
238,"Crime,Drama,Mystery,Thriller"
239,Drama
240,Drama
241,"Crime,Mystery,Sci-Fi,Thriller"
242,"Animation,Action,Drama,Fantasy,Sci-Fi"
243,"Drama,Romance"
244,"Action,Adventure,Sci-Fi,Thriller"
245,Comedy
246,Drama
247,"Drama,Horror,Mystery,Thriller"
248,"Action,Mystery,Thriller"
249,"Biography,Thriller"
250,"Action,Fantasy,Thriller"
251,"Comedy,Romance"
252,"Action,Comedy,Crime,Mystery,Romance"
253,"Crime,Drama,Thriller"
254,"Biography,Drama,History,Thriller,War"
255,"Action,Comedy,Crime,Thriller"
256,"Animation,Drama,Romance"
257,"Documentary,Crime,History"
258,"Adventure,Comedy,Horror"
259,"Action,Adventure,Comedy,Crime"
260,"Crime,Drama,Thriller"
261,"Adventure,Romance"
262,"Comedy,Drama,Romance"
263,"Comedy,Drama"
264,"Action,Adventure,Sci-Fi,Thriller"
265,"Crime,Drama,Thriller"
266,Thriller
267,Comedy
268,Documentary
269,"Biography,Drama"
270,"Adventure,Drama"
271,"Adventure,Drama,Family,Fantasy"
272,"Action,Thriller"
273,"Comedy,Sport"
274,"Comedy,Drama,Fantasy,Romance,Sci-Fi"
275,"Crime,Drama,Mystery,Thriller"
276,Western
277,"Crime,Drama,Thriller"
278,Drama
